repo,base_commit,license,num_cs_files,root_sln_or_csproj_files,verify_command
NuGet/NuGet.Licenses,a6a6e9d0a708c26431e5a69ced7b961fd4c19a75,Apache-2.0,29,NuGet.Licenses.sln,dotnet test NuGet.Licenses.sln
Azure-Samples/TodoFunctions,311a701be1fde81a3789d55596d363fa1fe438c3,MIT,9,ToDoFunctions.sln,dotnet test ToDoFunctions.sln
kiennq/csclip,ddf3ec744cb54c7a0978ce9cd4969af381aa7463,MIT,4,csclip.sln,dotnet test csclip.sln
renepacios/ClosedXML.TableReader,90d5cacf66a0119f0d04cb8b93a82b1298d0db8c,MIT,35,ClosedXML.TableReader.sln,dotnet test ClosedXML.TableReader.sln
samblackburn/NetDoc,c4ea9a01677a9438ae571357df7fa6da025fa2da,MIT,13,NetDoc.csproj;NetDoc.sln,dotnet test NetDoc.csproj && dotnet test NetDoc.sln
rhubarb-geek-nz/CancellationTokenEvent,c69e88f503bcaf63dd601e3175f9a59f00bdb3d4,MIT,10,CancellationTokenEvent.sln,dotnet test CancellationTokenEvent.sln
HavenDV/H.Pipes,db4e025116693d9c42c71ed6b6821532e1d24ace,MIT,27,NamedPipeWrapper.sln,dotnet test NamedPipeWrapper.sln
moejoe/Moejoe.AspNet.JsonMergePatch,ab9f11b946f3a619ec0f06970b7ff49667000695,MIT,14,Moejoe.ProofOfConcept.JsonMergePatch.sln,dotnet test Moejoe.ProofOfConcept.JsonMergePatch.sln
Bakanych/SpecFlowSharedSteps,03e19666194ccb2377e107c6dcf6441a9244443b,MIT,7,SpecFlowSharedSteps.sln,dotnet test SpecFlowSharedSteps.sln
microsoft/slngen,4ccec92d4f2fa2927d0acc38c97f86599526813e,MIT,23,SlnGen.sln,dotnet test SlnGen.sln
lehmamic/undo-manager,41b2cf5077e891416f9c4e3ce90fc8e37f7507de,MIT,35,UndoManager.sln,dotnet test UndoManager.sln
tnakamura/ReduxSharp,2a630f2bf234eed9e526ee94394f8f38098f148b,MIT,36,ReduxSharp.sln,dotnet test ReduxSharp.sln
EricZimmerman/RecentFileCacheParser,87c06d64526643037c919641d3b851b62f6453bc,MIT,8,RecentFileCacheParser.sln,dotnet test RecentFileCacheParser.sln
AArnott/AssemblyRefScanner,ef308ed3b2caae9c400462f18c70aa7b1f21db04,MIT,1,AssemblyRefScanner.sln,dotnet test AssemblyRefScanner.sln
madelson/ImmutableLinkedList,c58e3436dcbe9cfe1bb5c0862c063b6e427c64dd,MIT,12,ImmutableLinkedList.sln,dotnet test ImmutableLinkedList.sln
kiliman/mono-symbolicate-helper,672d631f109facf7eef47ca9a281d002b0ee4318,MIT,11,MonoSymbolicateHelper.sln,dotnet test MonoSymbolicateHelper.sln
jeffkl/PackagesConfigConverter,f8d7e226cd53704f6c099dd0f22a97075e9927de,MIT,20,PackagesConfigConverter.sln,dotnet test PackagesConfigConverter.sln
ShiningRush/ServiceAnt,e36009c2ee8631c6f9fd1eda6c232971cc4a93bf,MIT,34,ServiceAnt.sln,dotnet test ServiceAnt.sln
flakey-bit/DotNetDigestAuth,ed7ff4101b752d436c85598c15cddb20052b9763,MIT,32,DotNetDigestAuth.sln,dotnet test DotNetDigestAuth.sln
thomaslevesque/NString,3eb0b9ed17833d25722d1d0308a7c6e61b85a4a0,Apache-2.0,24,NString.sln,dotnet test NString.sln
lethek/SignalR.Extras.Autofac,3a4ac841ad230aca5b6d4c07b69ade4002aa6592,MIT,33,SignalR.Extras.Autofac.sln,dotnet test SignalR.Extras.Autofac.sln
serilog-contrib/serilog-settings-xml,1849a5b5ae9b627b0b658d0d6419dcc0193dbd1f,Apache-2.0,6,serilog-settings-xml.sln,dotnet test serilog-settings-xml.sln
thomaslevesque/DontMergeMeYet,6fe3feb47fa5eeacd40eb4c583a13e729bf2ac51,MIT,30,DontMergeMeYet.sln,dotnet test DontMergeMeYet.sln
HEskandari/NServiceBus.Mailer,5b0dce2d176cbf7ebc7241bcf7d5d752ada27522,MIT,23,Mailer.sln,dotnet test Mailer.sln
syncromatics/csvialize,29b3bda99cc84a83b6221c10d6efa930f001d6b9,MIT,8,Csvialize.sln,dotnet test Csvialize.sln
unitycontainer/registration-by-convention,8453f45f1285150440eab18ab85fb52bd15502d2,Apache-2.0,22,package.sln,dotnet test package.sln
waf/replay-csharp,3f7fe53060e2fdc1149fa42ae8617d5ba22c033b,MIT,23,Replay.sln,dotnet test Replay.sln
chausner/ArffTools,35e03c33e9866fde42cf81b626cad5ebf201520b,MIT,7,ArffTools.sln,dotnet test ArffTools.sln
unitycontainer/service-location,6f0b05eec71914a22150d7a82344dbfbe96bb1fc,Apache-2.0,7,package.sln,dotnet test package.sln
aliencube/WebJobActivator,fc52efde90001eee7bbaa4540053cccdb151df87,MIT,40,WebJobActivator.sln,dotnet test WebJobActivator.sln
ufcpp/BitFields,8f947dacc5a190f049cbedc8c58ba8ab220cd205,MIT,57,BitFields.sln,dotnet test BitFields.sln
okta/okta-aspnet,aa064e81e88979dbf73998fee431fae532571545,Apache-2.0,80,Okta.AspNet.sln,dotnet test Okta.AspNet.sln
alex-sherman/Replicate,2ca903de4452d5f1afe5ff1592d167ce7e197a67,MIT,84,Replicate.sln,dotnet test Replicate.sln
codecutout/JsonApiSerializer,78ae748c40f2f64ffdec4a131198af9e558b9842,MIT,72,JsonApiSerializer.sln,dotnet test JsonApiSerializer.sln
chrismckelt/WebMinder,689139080b359384c6f2f508e0e0ffdef9ed3753,Apache-2.0,68,WebMinder.sln,dotnet test WebMinder.sln
joelverhagen/MiniZip,4d79bb73409a42334e441441cc97d6408c88a5d4,MIT,69,MiniZip.sln,dotnet test MiniZip.sln
CommonBuildToolset/CBT.Modules,4c5078d247c3323a8d7920246a0da2bd82f217ce,MIT,84,CBT.Modules.sln,dotnet test CBT.Modules.sln
wieslawsoltes/ChatGPT,a26cb28628fb0ea058d560edd21e7925824825c6,MIT,99,ChatGPT.sln,dotnet test ChatGPT.sln
schneidenbach/AutoMapper.Attributes,6324776b6eaef9942d287fbc66f50975f7e343ee,MIT,77,AutoMapper.Attributes.sln,dotnet test AutoMapper.Attributes.sln
Amarok79/InlayTester.Drivers.FeigReader,b6be6aa47b83da7555dc3277f3dfc0d0593097b8,MIT,47,InlayTester.Drivers.FeigReader.sln,dotnet test InlayTester.Drivers.FeigReader.sln
smourier/SQLNado,ebca421c43511b5ebee008b587c0af3cfee44a85,MIT,114,SqlNado.sln,dotnet test SqlNado.sln
Infinite-Square/efcoreextensions,646eb35f0f22052198a451130c4ac53c7d7891f7,MIT,49,EFCore.Extensions.sln,dotnet test EFCore.Extensions.sln
brminnick/AzureBlobStorageSampleApp,3efa232f2ecc14d2099d95d04edcda90b92042e7,MIT,49,AzureBlobStorageSampleApp.sln,dotnet test AzureBlobStorageSampleApp.sln
