repo,base_commit,license,num_js_and_ts_files,num_loc,num_unit_test,install_command,build_command,test_command,deploy_command
muthamizhyadav/Uyarchi,f544a96349333f4b83e692d04f21c7bad2a83733,MIT,560,95544,6,npm ci,,npm test,serverless deploy
HathorNetwork/hathor-wallet-service-old,b3820ec6f8e4c912a0f4047032746b99cd7f5640,MIT,135,28050,3,npm ci,,npm test,serverless deploy
openapistack/openapi-backend,55aa296c30173ae791402d3888ab80819c57f62c,MIT,56,7301,284,npm ci,npm run build,npm test,
RevatureRobert/2106Jun07RNCN-2-p2-be,bab41d7c2ccc8976080bd4fd6df80176536090da,MIT,44,2192,12,npm install,,npm test,sam deploy
lumigo-io/SAR-Propagate-CFN-Tags,2555b692cea2fc3c63e1a216cb793b619d2136b9,Apache-2.0,14,677,13,npm ci,,npm test,sam deploy
jesseokeya/aws-cdk-playground,8ded298393cc81e9103f7a0bd2d7615ab1331324,MIT,38,953,1,npm ci,npm run build,npm test,npm run cdk deploy
DiegoVictor/code-runner,e23eab3b4780fbe4237de397aeca2ebf05bbe173,MIT,33,1700,15,npm ci,,npm test,sam deploy
Franco3010/learnLambda,9093f261904c2a012f31cad13942bd6fd545511e,MIT,31,2200,1,npm install,npm run build,npm run test,cdk deploy
lumigo-io/SAR-Logging,0a08b40315d3282ab946b4ce16ac2069ea147980,Apache-2.0,11,1307,45,npm install,,npm run test,npm run package && npm run publish
karlgroves/openai-content-moderator,62d79f2fedd401470cf2e484dad5d876b31c3b13,MIT,19,1976,85,npm install,,"npm run test
npm run test:unit
npm run test:integration",npm run deploy
GamblingKings/GamblingKingsBackend,6158d6ddef7a4000ce9dfc7af88b7ee53ec2520e,Apache-2.0,93,7439,132,"yarn run dev:cleanup && 
yarn run install_dep",,yarn run test,yarn run deploy-prod
ukmadlz/care-pet,16c76d6ed72745b96814e134780f93fc327b0926,MIT,16,459,1,npm install,npm run build:serverless,npm run test,npm run deploy
tacoinfra/op-broadcaster,d2f56329c3361dde627a4bb78f74c8e463f20d09,MIT,14,420,12,npm install,,npm run test,serverless deploy --stage dev
johnkallen/reactAWS,28fd88cde61ee91ecf9a3858a55883d6bb85b8e2,MIT,16,459,1,npm install,npm run build:serverless,npm run test,npm run deploy
zishanneno/aws-typescript-lambda-boilerplate,59845c5de2aa6558b0a1ac09d7691731acd87d5d,MIT,9,260,6,yarn,yarn sam:build,yarn test,yarn deploy
orangejellyfish/pub-bot,c34826ba7f022194dda6858fcea7f3fbce4f71ca,MIT,6,170,2,npm install,,npm run test,npm run deploy
