repo,base_commit,license,num_py_files,num_loc
infamousjoeg/OpenAIConnect,9cb1bb048fba8e65a099b3d0c3582ddda16f65f5,MIT,1,36
creatingfuturetoday/Serverless-Sentiment-Analysis,7274b2bfcc5c9527b8d8c2740982fcf6c325aee2,Apache-2.0,3,88
tfandkusu/TryServerless,628a46c2b72d2e0cfa5ca2301b509b678ef109c2,Apache-2.0,1,15
BoraxTheClean/TwitterBot,c97903dd80fa062ad81ff202f8844839deaf3fc2,MIT,1,41
bahoo/Zappa,751bca9c5833815c654f52c6efc8d6dbae45a6e5,MIT,37,13892
danilop/analyzing-data-aws-lambda,2ca65c51c262925281a19edf837be054dadd1750,Apache-2.0,4,240
namuan/api-exchange-server-guide,6fc8d576175789bdb1954bb1b5f1573f10b7e470,MIT,1,10
catmeme/arti,8376a6050f8c1f6868ebf9a95769a4a05900f98c,MIT,24,2625
AssemblyAI-Community/assemblyai-demo-webhook-receiver-lambda,cbe213d6268ed59deb91413a9a390e95537717f7,MIT,1,60
galesky/aws-billing-slack-lambda,bcc5ca9ede73f230690bb05b963f53baec55a946,MIT,1,40
aws/aws-lambda-builders,2481b86059b73159058bef431fb3e2a5ebb1a8dc,Apache-2.0,189,19463
addresscloud/aws-lambda-docker-rasterio,770b0db1c18da2ad5b03ab17e91f1274b7440dea,MIT,1,25
hmrc/aws-lambda-ec2-launch-checks,90b014d748483da2db717731b79c24ecfef35db6,Apache-2.0,5,612
base2Services/aws-lambda-http-check,077c726ed691a1176caf95497b8b02f05f00e0cb,MIT,1,283
dekokun/aws-lambda-parallelization-factor-test,a9d73cd15a3549e1b908cf4504c136173f54839c,MIT,2,41
open-mpic/aws-lambda-python,e071d726aad9b0d6e5e0a7aa2052aa0d2202c7f6,MIT,13,1587
eslazarev/aws-lambda-telegram-bot,1e5b21b25cf63273d769c47b9c5754e0412ed826,MIT,5,155
signalfx/aws-log-collector,a4b8001e24f1d422d614bec383990f50705eb0ee,Apache-2.0,38,2334
newrelic/aws-log-ingestion,dbc56bad942301fbdd4b1efe0bc83d19ab2c2c6a,Apache-2.0,8,1454
vigneshbabupj/aws-serverless-deployment,18ed983c015c13c4562c9d0058b30e6a07ff4612,MIT,2,145
BigBuildBench/aws_chalice,69466449069c8e642547ca6d8b9b702b48b36958,Apache-2.0,136,48144
newrelic/aws_s3_log_ingestion_lambda,1a845b03e6ba71db9ba32d13dfdb1880ea1d989b,Apache-2.0,2,377
ferdinandbracho/bp_aws_lambda_python_serverless-fw,5645b0661347fa8dd8c6589af5b292af78a874ed,MIT,4,178
j3-signalroom/ccaf_kickstarter-flight_consolidator_app-lambda,cbfbb49aca3017195e63f260414558118f731cd9,MIT,1,178
alexpulver/cdk-chalice,cd53c14941c12606e790126fe9dc42046f5615a7,MIT,6,551
Skyscanner/cfripper,902f74f1da71af17ea3ca19b0e5a3964cf6d6cc0,Apache-2.0,109,12105
marktennyson/chalice-jwt,96a95a3130c3c734ea6c1085405ff06b3e3aef6f,MIT,6,134
localstack/chalice-local,d3d401f121ce985a0b4884fcf1dcb4b42ffbc727,Apache-2.0,1,49
KristaBliss/chalice-veneer,57e53fa556e86a2555ecad76038db0716b562b4f,MIT,5,376
isaccanedo/chalice,308967cafb2165347647ff97602ab36a2dd6cbab,Apache-2.0,136,47210
Cloud-Architects/cloudiscovery,fad132e45f813775eaf0051e628fcbec68291fb4,Apache-2.0,84,11132
marcelmindemann/codepipeline-monorepo-webhook,75056fb753013f91c0f40060853ff037c105f4e0,MIT,5,336
gavincornwell/contacts-api,f4e7835d52e2a58d4004581d9c071deb39bbc100,Apache-2.0,8,335
AgnostiqHQ/covalent,62ba6d1452cbf121669fab59c20571eedf6296b1,Apache-2.0,407,60182
gustavofreze/cryptocurrency-prices,f9ba4cd2eda513ed42b2d9830719bd63f756130a,MIT,16,248
DataDog/datadog-lambda-python,a55cac58806d7c9a4e79cba18c8077e862c39123,Apache-2.0,49,12285
chankh/ddb-elasticsearch,cdd1d7c638c8e4ed7d1de552493efc0183f40f37,Apache-2.0,1,55
Salaah01/django-action-triggers,abf1cd7d1ee2572b2681d75c2006fd4005056b0c,MIT,123,8957
hassantahhan/ec2recovery,198dfd22314efe09a694a973ffbc375d964b9338,Apache-2.0,2,149
tribasuki74/fastapi-to-aws-lambda-with-container,0965b73034667cb9ff379a1fdef13b2284ea722a,Apache-2.0,4,48
dmdhrumilmistry/file-validation,0f732ff495762af61a7cf9989d72aa19202dff95,MIT,2,108
ONS-Innovation/github-audit-lambda,07ffecc22b2088a03bfc12b70915148cfba76b26,MIT,1,1004
ONS-Innovation/github-copilot-usage-lambda,aea9ff2f03f82015dd98b2cdeba88e6b9a33e57e,MIT,4,889
muldos/graphql-serverless,afcd3f174b23bf2473749e435cdbb6880f4c096e,MIT,5,186
braze-inc/growth-shares-lambda-user-csv-import,27eb78381c25a221f06c5275000dd5254b40c862,MIT,5,912
Sage-Bionetworks-IT/lambda-batch-trigger,fe4ab827058d6d692d8c8464eedb3adb8de65fe0,Apache-2.0,4,129
Sage-Bionetworks-IT/lambda-ebs-cleanup,577b8cbe2c74de2a0eea34691baa6b55251b511e,Apache-2.0,4,277
Sage-Bionetworks-IT/lambda-finops-floqast-sftp,592aca955db060840e133f4424c6801702422010,Apache-2.0,4,596
uknbr/lambda-price,a7d6a556f0469da485cd1429bd44ac9dd7ed9c78,MIT,2,58
amtam0/lambda-tesseract-api,1e4bcc21a0c904bf54e58de61d427e71b1af250d,MIT,2,636
Vitesco-Technologies/ldap-password-rotation,a03f2525bd9cb4adfbabc1279043bce6cf493047,Apache-2.0,10,1803
jordaneremieff/mangum-chatroom,1da51033eb45736f5ee22d4d5a59a6814ecbcd12,MIT,3,80
tomkat-cr/mediabros_apis,92fd69ca2507d138978e9503f0f64bd707d4aed3,MIT,30,3690
Alex-Stefanou/now-pension-scraper,7131e0dc7348a2ceee2e4bbac9e056c59efd9a52,MIT,2,80
oslokommune/okdata-data-exporter,35acc31f257843f8276e82db9c87a9fafe46ba03,MIT,5,483
PulseInnovations/prometheus-deadmansswitch,374e981201288d99a59bece797a2badf193eec22,MIT,2,301
whojarr/pycon-flask-example,3443c127bf77f5f1502d236cbc9a783d5f080439,Apache-2.0,1,20
whisller/pytest-serverless,127f84b0cf7a0d8014061c42f0701077d419490d,MIT,3,348
badouralix/rclone-lambda-sync,b56c1446b629963d172964bd819d68991998bc4c,MIT,2,243
ENCODE-DCC/s3-md5-hash,e7f02f13c9c8e09888a7a526608aae48225bb34a,MIT,15,512
kattakaha/sam-python312-template,5d334cb65b117777f448175845b3424a9840f242,MIT,12,517
srijitm/sample-flask-lambda-api,518525a7d519d58d0b46233813bd16d7f4f8a187,Apache-2.0,3,100
srijitm/sample-serverless-sentiment-analysis,5e86057b59a9ac60e6103363033bc9dd3f7b07ea,Apache-2.0,3,88
rog555/sedo,15b3719b0b7251c002f9be4a0e4f9ee28a5d2412,Apache-2.0,8,1067
ap-dev-github/sentiment-analyzer-api,9458f54ed2d61adbc0af23a4eee80bf80daa3886,MIT,2,113
cuenca-mx/sentry-chalice,3a19d314e4050da712284f81714f14c7caca53aa,MIT,7,292
drocco007/serverless-aws-rds-logs-s3,eacb49aa8d7320ba065cde9aba1df7f30e5cad52,Apache-2.0,2,325
chtompki/serverless-example,2fe542ea1ea11e7e1dc4b341cd34b827e38ec347,Apache-2.0,2,117
CodeRabbitHub/serverless-lambda-docker-deployment,34da808ebb3c28dfe7fe9ae77e7cdae24af0a153,MIT,2,126
dltj/serverless-mailing-list,973e1637ad971861815b10504b1e3a2749851505,Apache-2.0,11,923
ims3m/serverless-pipeline-demo,63bf31d7925a2196d85824b2581b0ce9834681da,Apache-2.0,1,21
basepi/serverless-testing,332700f1b36db6e5b1c5f62391d22d3bb4feea4d,Apache-2.0,1,41
openlibraryenvironment/serverless-zoom-recordings,07a147743db787791d9f45733f0fe6dffecac1a5,Apache-2.0,13,1103
simularium/simularium-lambdas,fb6db8f455cb6448d343ffb6e76649a44751e5b3,Apache-2.0,7,745
nexmo-community/sms-aws-sqs-python-receiver,ae26cbe11a057885f38768caf870f627b2c45343,MIT,1,83
chiphuyen/sniffly,a237d7e9a9b37181626c049046c99b496f6c33c5,MIT,47,11790
pelmers/streetwarp-lambda,93925447c36ea65f50a450d849b6b671fdbb40d2,MIT,1,333
edeltech/tensorflow-lite-on-aws-lambda,bdce4e80bf4888014b90f7a646472c081cc18f7c,MIT,1,49
AsiehH/teslabot,0dcd577e49e05b7bb0afdfde2ff225ae1fb0036a,MIT,2,51
qwigo/warrant,e81f9a6dd6e36be3b6fa1dbbd11334ec92124ace,Apache-2.0,6,1322
